CatchId, Stage, Number of Cells, SurfaceArea (m2), BedArea (m2), Volume (m3), SLOPE, LENGTHKM, AREASQKM
147, 0.100000, 297, 27191.550574, 27192.348539, 2631.603821, 0.0021877860, 3062.200000, 4.356352
147, 0.200000, 346, 31677.852203, 31679.183559, 5576.610891, 0.0021877860, 3062.200000, 4.356352
147, 0.500000, 519, 47517.085001, 47524.483371, 17710.859792, 0.0021877860, 3062.200000, 4.356352
147, 1.000000, 844, 77272.961821, 77316.690416, 47677.034637, 0.0021877860, 3062.200000, 4.356352
147, 2.000000, 1519, 139073.884952, 139350.820000, 164213.600010, 0.0021877860, 3062.200000, 4.356352
147, 5.000000, 2866, 262397.768655, 264381.879869, 766405.879602, 0.0021877860, 3062.200000, 4.356352
147, 10.000000, 8246, 754950.425897, 760597.271374, 3042403.512186, 0.0021877860, 3062.200000, 4.356352
139, 0.100000, 180, 16481.490557, 16481.812606, 1562.842459, 0.0006810110, 1714.000000, 1.430976
139, 0.200000, 213, 19503.018060, 19503.626025, 3337.613872, 0.0006810110, 1714.000000, 1.430976
139, 0.500000, 345, 31589.059762, 31591.958649, 11478.721655, 0.0006810110, 1714.000000, 1.430976
139, 1.000000, 547, 50084.650641, 50097.439771, 33016.450170, 0.0006810110, 1714.000000, 1.430976
139, 2.000000, 814, 74532.468761, 74688.854855, 93693.400209, 0.0006810110, 1714.000000, 1.430976
139, 5.000000, 1987, 181939.108816, 183355.076484, 457343.965988, 0.0006810110, 1714.000000, 1.430976
139, 10.000000, 4851, 444184.703220, 448343.241398, 2135620.175708, 0.0006810110, 1714.000000, 1.430976
164, 0.100000, 726, 66484.283312, 66487.909513, 6481.303426, 0.0018780300, 7497.100000, 13.686592
164, 0.200000, 888, 81320.161242, 81325.348533, 13633.040089, 0.0018780300, 7497.100000, 13.686592
164, 0.500000, 1281, 117310.647181, 117328.255367, 44332.470752, 0.0018780300, 7497.100000, 13.686592
164, 1.000000, 1657, 151744.023890, 151818.199824, 111584.242250, 0.0018780300, 7497.100000, 13.686592
164, 2.000000, 2948, 269969.349665, 270904.134269, 314250.476532, 0.0018780300, 7497.100000, 13.686592
164, 5.000000, 8057, 737831.110563, 742316.185131, 1797305.895093, 0.0018780300, 7497.100000, 13.686592
164, 10.000000, 21024, 1925307.008720, 1938152.274603, 7984210.288171, 0.0018780300, 7497.100000, 13.686592
123, 0.100000, 414, 37907.927039, 37908.152298, 3492.841745, 0.0007905980, 3773.300000, 5.872992
123, 0.200000, 526, 48163.211345, 48165.056547, 7637.281127, 0.0007905980, 3773.300000, 5.872992
123, 0.500000, 1190, 108962.680964, 108991.418265, 31641.810985, 0.0007905980, 3773.300000, 5.872992
123, 1.000000, 1987, 181939.913981, 182026.731769, 107623.763244, 0.0007905980, 3773.300000, 5.872992
123, 2.000000, 2910, 266454.832284, 266799.166107, 333288.502364, 0.0007905980, 3773.300000, 5.872992
123, 5.000000, 5449, 498939.259441, 500796.512884, 1465832.472944, 0.0007905980, 3773.300000, 5.872992
123, 10.000000, 12350, 1130829.817466, 1135060.539136, 5481631.034640, 0.0007905980, 3773.300000, 5.872992
140, 0.100000, 201, 18405.588771, 18405.716072, 1776.422682, 0.0010940520, 2170.400000, 3.001184
140, 0.200000, 228, 20877.950787, 20878.449042, 3712.309621, 0.0010940520, 2170.400000, 3.001184
140, 0.500000, 329, 30126.610945, 30134.349827, 11313.436141, 0.0010940520, 2170.400000, 3.001184
140, 1.000000, 496, 45418.912746, 45470.463325, 30461.662498, 0.0010940520, 2170.400000, 3.001184
140, 2.000000, 786, 71974.364558, 72213.280069, 89543.798415, 0.0010940520, 2170.400000, 3.001184
140, 5.000000, 2390, 218851.636691, 220026.419570, 491523.684942, 0.0010940520, 2170.400000, 3.001184
140, 10.000000, 6372, 583480.795757, 585952.453022, 2384339.122820, 0.0010940520, 2170.400000, 3.001184
68, 0.100000, 3205, 293511.480007, 293549.810278, 25169.865928, 0.0060712310, 25579.100000, 61.881513
68, 0.200000, 4363, 399557.920113, 399606.934159, 59883.826047, 0.0060712310, 25579.100000, 61.881513
68, 0.500000, 7804, 714677.481726, 714857.718324, 226178.624084, 0.0060712310, 25579.100000, 61.881513
68, 1.000000, 12718, 1164695.383468, 1165335.252092, 696770.096621, 0.0060712310, 25579.100000, 61.881513
68, 2.000000, 22526, 2062890.784899, 2065088.069613, 2315192.755024, 0.0060712310, 25579.100000, 61.881513
68, 5.000000, 47478, 4347922.769018, 4358402.667545, 11969599.271229, 0.0060712310, 25579.100000, 61.881513
68, 10.000000, 89776, 8221414.699220, 8253364.003247, 43761336.171849, 0.0060712310, 25579.100000, 61.881513
124, 0.100000, 657, 60169.395980, 60170.856362, 5230.414098, 0.0037466220, 5699.900000, 9.327458
124, 0.200000, 917, 83981.587748, 83985.724946, 12375.099921, 0.0037466220, 5699.900000, 9.327458
124, 0.500000, 1841, 168604.531696, 168642.167284, 51651.897741, 0.0037466220, 5699.900000, 9.327458
124, 1.000000, 3003, 275023.284401, 275159.956610, 163358.984191, 0.0037466220, 5699.900000, 9.327458
124, 2.000000, 5207, 476872.124020, 477373.064003, 540733.603323, 0.0037466220, 5699.900000, 9.327458
124, 5.000000, 13623, 1247645.476992, 1249463.057684, 3068514.318866, 0.0037466220, 5699.900000, 9.327458
124, 10.000000, 29419, 2694311.853849, 2698021.029979, 12765669.435314, 0.0037466220, 5699.900000, 9.327458
99, 0.100000, 368, 33694.750199, 33696.155035, 3138.719790, 0.0032750470, 3307.700000, 2.274128
99, 0.200000, 412, 37723.472773, 37725.370172, 6689.835711, 0.0032750470, 3307.700000, 2.274128
99, 0.500000, 594, 54387.733036, 54398.782195, 20722.933737, 0.0032750470, 3307.700000, 2.274128
99, 1.000000, 835, 76454.079225, 76515.517466, 53364.987577, 0.0032750470, 3307.700000, 2.274128
99, 2.000000, 1413, 129376.975015, 129760.226760, 154520.773559, 0.0032750470, 3307.700000, 2.274128
99, 5.000000, 2748, 251612.675960, 253546.735312, 730520.322305, 0.0032750470, 3307.700000, 2.274128
99, 10.000000, 8186, 749520.863075, 754266.997860, 3027626.126186, 0.0032750470, 3307.700000, 2.274128
91, 0.100000, 539, 49349.793828, 49350.845208, 3826.645044, 0.0021275100, 3002.000000, 8.116816
91, 0.200000, 1188, 108769.476819, 108773.087708, 12735.700468, 0.0021275100, 3002.000000, 8.116816
91, 0.500000, 2120, 194101.939012, 194126.803627, 56783.188514, 0.0021275100, 3002.000000, 8.116816
91, 1.000000, 3128, 286391.154455, 286453.461099, 177501.974700, 0.0021275100, 3002.000000, 8.116816
91, 2.000000, 4675, 428029.798092, 428226.211716, 537365.737661, 0.0021275100, 3002.000000, 8.116816
91, 5.000000, 7838, 717623.657269, 718634.929144, 2288232.112448, 0.0021275100, 3002.000000, 8.116816
91, 10.000000, 13974, 1279405.613020, 1282106.939672, 7327126.307737, 0.0021275100, 3002.000000, 8.116816
83, 0.100000, 1243, 113802.543949, 113808.224496, 10183.189287, 0.0044845730, 11017.700000, 19.557332
83, 0.200000, 1578, 144473.276500, 144482.398491, 22940.358610, 0.0044845730, 11017.700000, 19.557332
83, 0.500000, 2651, 242710.110331, 242763.713031, 81403.052214, 0.0044845730, 11017.700000, 19.557332
